Altium Designer Pick and Place Locations
F:\WORK\Project of Hoa Duc\Central_Yaw v1.1 PCB_Project\Project Outputs for Free Documents\Pick Place\Pick Place for YAW.csv

========================================================================================================================
File Design Information:

Date:       22/06/26
Time:       13:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)"
"J3","TopLayer","2141.354","573.000","90","2056.709","632.055","2056.709","632.055"
"R17","TopLayer","755.000","1540.000","90","755.000","1540.000","755.000","1520.315"
"R15","BottomLayer","374.080","1654.081","225","374.081","1654.081","388.000","1668.000"
"R36","TopLayer","1780.000","946.000","180","1780.000","946.000","1799.685","946.000"
"R35","TopLayer","1500.000","1250.000","0","1500.000","1250.000","1480.315","1250.000"
"R34","TopLayer","1780.685","886.000","180","1780.685","886.000","1800.370","886.000"
"R33","TopLayer","1500.000","1205.000","0","1500.000","1205.000","1480.315","1205.000"
"R31","TopLayer","1515.000","696.000","270","1515.000","696.000","1515.000","715.685"
"R30","TopLayer","1473.000","696.000","270","1473.000","696.000","1473.000","715.685"
"U1","BottomLayer","985.000","985.000","0","985.000","985.000","871.779","908.228"
"R22","TopLayer","890.000","985.000","90","890.000","985.000","890.000","956.457"
"R21","TopLayer","958.000","868.000","270","958.000","868.000","958.000","896.543"
"R20","TopLayer","1925.000","1606.457","90","1925.000","1606.456","1925.000","1577.913"
"Q4","TopLayer","1830.000","1420.000","270","1830.000","1420.000","1867.402","1461.732"
"R4","BottomLayer","969.000","1117.000","180","969.000","1117.000","997.543","1117.000"
"R3","BottomLayer","969.000","1172.000","180","969.000","1172.000","997.543","1172.000"
"R2","BottomLayer","1145.000","1650.000","0","1145.000","1650.000","1116.457","1650.000"
"R1","BottomLayer","1145.000","1815.000","0","1145.000","1815.000","1116.457","1815.000"
"U5","TopLayer","985.000","985.000","180","985.000","985.000","1030.866","955.472"
"U4","BottomLayer","348.690","1268.494","336","345.113","1263.347","176.731","1162.975"
"U3","TopLayer","845.000","1650.000","180","845.000","1650.000","885.354","1624.409"
"U2","TopLayer","458.000","1621.000","135","458.000","1621.000","463.707","1562.399"
"R23","TopLayer","1090.000","985.000","90","1090.000","985.000","1090.000","956.457"
"R19","TopLayer","414.457","1431.000","180","414.457","1431.000","443.000","1431.000"
"R18","TopLayer","243.000","1086.000","270","243.000","1086.000","243.000","1114.543"
"R16","TopLayer","845.000","1765.000","0","845.000","1765.000","825.315","1765.000"
"R14","BottomLayer","488.000","1540.000","90","488.000","1540.000","488.000","1520.315"
"R13","TopLayer","501.160","1729.326","315","501.160","1729.325","487.241","1743.245"
"R12","BottomLayer","588.000","1504.000","90","588.000","1504.000","588.000","1484.315"
"R11","TopLayer","537.000","1764.000","135","537.000","1764.000","550.919","1750.081"
"Q3","TopLayer","1975.000","1420.000","270","1975.000","1420.000","2012.402","1461.732"
"P2","TopLayer","1651.000","1000.226","90","1655.000","1000.000","1703.906","748.824"
"P1","TopLayer","1299.523","406.209","28","1300.000","410.000","1444.425","543.222"
"L1","TopLayer","593.000","1476.000","315","593.000","1476.000","562.377","1506.623"
"J5","TopLayer","2275.000","1270.000","90","2275.000","1270.000","2209.055","1050.512"
"J4","TopLayer","418.205","1215.291","66","410.000","1235.000","321.895","1223.037"
"D1","TopLayer","950.000","1765.000","0","950.000","1765.000","981.488","1765.000"
"C23","TopLayer","1005.000","1095.000","0","1005.000","1095.000","969.567","1095.000"
"C22","TopLayer","992.000","1195.000","0","992.000","1195.000","960.504","1195.000"
"C21","TopLayer","308.000","1522.000","270","308.000","1522.000","308.000","1553.496"
"C20","TopLayer","350.080","830.825","0","354.000","832.000","350.080","885.550"
"C19","TopLayer","86.000","861.000","270","86.000","861.000","86.000","892.496"
"C18","TopLayer","236.000","861.000","270","236.000","861.000","236.000","892.496"
"C17","TopLayer","161.000","861.000","270","161.000","861.000","161.000","892.496"
"C16","TopLayer","160.000","1078.504","90","160.000","1078.504","160.000","1047.008"
"C15","TopLayer","85.000","1080.000","90","85.000","1080.000","85.000","1048.504"
"C14","TopLayer","970.000","1660.433","90","970.000","1660.433","970.000","1625.000"
"C13","TopLayer","1030.000","1635.000","270","1030.000","1635.000","1030.000","1617.284"
"C12","TopLayer","1745.000","1605.000","90","1745.000","1605.000","1745.000","1622.716"
"C11","BottomLayer","1445.000","1665.000","0","1445.000","1665.000","1462.716","1665.000"
"C10","TopLayer","845.000","1530.000","0","845.000","1530.000","813.504","1530.000"
"C9","BottomLayer","539.000","1540.000","90","539.000","1540.000","539.000","1557.716"
"C8","BottomLayer","684.000","1504.000","270","684.000","1504.000","684.000","1486.284"
"C7","BottomLayer","636.000","1504.000","270","636.000","1504.000","636.000","1486.284"
"C6","TopLayer","561.527","1668.473","315","561.527","1668.473","574.055","1655.945"
"C5","BottomLayer","486.496","1626.000","180","486.496","1626.000","517.992","1626.000"
"C4","TopLayer","406.000","1512.000","135","406.000","1512.000","393.473","1524.527"
"R29","TopLayer","1870.000","1290.000","90","1870.000","1290.000","1870.000","1261.457"
"R28","TopLayer","1865.000","1606.457","270","1865.000","1606.457","1865.000","1635.000"
"R27","TopLayer","1805.000","1606.457","90","1805.000","1606.456","1805.000","1577.913"
"R26","TopLayer","1935.000","1290.000","90","1935.000","1290.000","1935.000","1261.457"
"R25","TopLayer","1985.000","1606.457","270","1985.000","1606.457","1985.000","1635.000"
"R24","TopLayer","1013.000","868.000","270","1013.000","868.000","1013.000","896.543"
"R10","BottomLayer","1445.000","1735.000","0","1445.000","1735.000","1416.457","1735.000"
"R9","BottomLayer","1145.000","1760.000","180","1145.000","1760.000","1173.543","1760.000"
"R8","BottomLayer","1145.000","1865.000","180","1145.000","1865.000","1173.543","1865.000"
"R7","BottomLayer","1445.000","1595.000","0","1445.000","1595.000","1416.457","1595.000"
"R6","BottomLayer","1145.000","1541.000","180","1145.000","1541.000","1173.543","1541.000"
"R5","BottomLayer","1145.000","1595.000","180","1145.000","1595.000","1173.543","1595.000"
"Q2","BottomLayer","1305.000","1775.000","0","1305.000","1775.000","1263.268","1737.598"
"Q1","BottomLayer","1305.000","1635.000","0","1305.000","1635.000","1263.268","1597.598"
"J6","BottomLayer","2284.772","1272.000","270","2305.000","1272.000","2209.673","1055.465"
"J2","TopLayer","515.000","625.000","0","515.000","625.000","515.000","625.000"
"J1","TopLayer","660.000","495.000","0","660.000","495.000","660.000","495.000"
"C3","BottomLayer","1015.000","1265.000","90","1015.000","1265.000","1015.000","1229.567"
"C2","BottomLayer","1137.126","1705.000","0","1137.126","1705.000","1105.630","1705.000"
"C1","BottomLayer","979.000","850.000","180","979.000","850.000","1010.496","850.000"
